experiment_id,chunk_size,overlap_percentage,k_value,total_chunks,precision,recall,f1_score,iou,Config
1,200,0,1,134,0.223,0.647,0.32,0.202,200-0%-k1
2,200,0,5,134,0.093,0.878,0.165,0.091,200-0%-k5
3,200,0,10,134,0.059,0.931,0.109,0.058,200-0%-k10
4,200,25,1,178,0.233,0.663,0.332,0.212,200-25%-k1
5,200,25,5,178,0.1,0.88,0.176,0.098,200-25%-k5
6,200,25,10,178,0.065,0.925,0.12,0.065,200-25%-k10
7,200,50,1,266,0.234,0.671,0.335,0.212,200-50%-k1
8,200,50,5,266,0.112,0.869,0.194,0.11,200-50%-k5
9,200,50,10,266,0.074,0.913,0.135,0.074,200-50%-k10
10,400,0,1,67,0.144,0.705,0.232,0.136,400-0%-k1
11,400,0,5,67,0.056,0.9,0.104,0.056,400-0%-k5
12,400,0,10,67,0.036,0.958,0.069,0.036,400-0%-k10
13,400,25,1,89,0.148,0.714,0.238,0.141,400-25%-k1
14,400,25,5,89,0.063,0.921,0.116,0.062,400-25%-k5
15,400,25,10,89,0.041,0.96,0.078,0.041,400-25%-k10
16,400,50,1,133,0.157,0.761,0.253,0.15,400-50%-k1
17,400,50,5,133,0.07,0.931,0.129,0.07,400-50%-k5
18,400,50,10,133,0.047,0.954,0.089,0.047,400-50%-k10
